code,name,alone,group
AA,all_white_middle_class_female,136.5,41.45723684210526
AA,all_white_middle_class_male,68,41.25
AA,all_white_upper_class_female,114.125,39.846575342465755
AA,all_white_upper_class_male,115.2,44.029092319627615
ABH,all_white_lower_class_male,54.666666666666664,15.542124542124542
AD,all_white_indeterminable_male,5,10.712871287128714
AD,all_white_upper_class_male,43,11.003502626970228
ADP,all_white_middle_class_male,32,15.091240875912408
ADP,all_white_upper_class_male,32,15.089506172839506
AMB,all_white_upper_class_male,31,12.070904645476773
BAR,all_indian_indeterminable_male,165,165
BAR,all_white_upper_class_male,38,21.2834008097166
CB,all_black_free_black_male,11,17.267782426778243
CB,all_white_middle_class_male,50,17.924107142857142
CRT,all_indian_indian_tribal_leader_male,30,24.917874396135264
CRT,all_indian_indian_tribal_member_male,22,28.7
DEL,all_white_upper_class_male,52,16.88755020080321
EIC,all_white_lower_class_female,6,23.25
EIC,all_white_lower_class_male,55.714285714285715,14.886178861788618
EIC,all_white_upper_class_male,51,13.116504854368932
ELY,all_white_upper_class_female,47,9.821138211382113
FAH,all_white_poor_white_male,109.33333333333333,21.378205128205128
FD,all_white_lower_class_male,23.5,16.702970297029704
FD,all_white_upper_class_female,35.666666666666664,15.891837899543379
FD,all_white_upper_class_male,38.63636363636363,16.164027865737808
FD,all_white_yeoman_male,34,15.541984732824428
GDM,all_mixedblackwhite_free_black_male,40,22.55206686243506
GDM,all_white_upper_class_male,16.5,21.856301283399958
H,all_black_free_black_male,57,17.86304347826087
H,all_white_lower_class_male,80.6,16.48874945910861
H,all_white_middle_class_female,17.5,20.99592944369064
H,all_white_middle_class_male,49.90909090909091,19.227365833674725
H,all_white_poor_white_male,48,17.77239663093415
HR,all_white_lower_class_male,28.25,14.65548780487805
HUW,all_white_lower_class_male,22,11.4
HUW,all_white_upper_class_male,18,13.428104575163399
ID,all_white_lower_class_male,1657,44.26712328767123
ID,all_white_upper_class_male,302.625,37.94534300055773
J,all_indian_indian_tribal_member_male,21,11.487261146496815
KGB,all_white_middle_class_male,54,48
KGB,all_white_upper_class_male,110,19.79590228526399
LA,all_indeterminable_lower_class_male,12.5,15.473469387755102
LA,all_white_lower_class_female,42,14.792163153070577
LA,all_white_lower_class_male,20.583333333333332,14.051268213707502
LA,all_white_middle_class_female,22.5,15.078380482740721
LA,all_white_middle_class_male,23,16.8939617083947
LD,all_white_lower_class_male,5,12.532790592492084
LIO,all_white_upper_class_male,54.666666666666664,21.125435540069688
LJC,all_white_upper_class_male,40,62.5
M,all_white_lower_class_female,4,16.143636363636364
M,all_white_lower_class_male,74.91666666666667,17.68039492242595
M,all_white_middle_class_female,58.42857142857143,24.933823529411764
M,all_white_middle_class_male,79.54545454545455,23.491744436468053
M,all_white_poor_white_male,70.35714285714286,21.07606589147287
M,all_white_upper_class_female,89.5,29.043478260869566
M,all_white_upper_class_male,60.111111111111114,19.663974151857836
MGM,all_white_upper_class_female,67,16.262114537444933
MGM,all_white_upper_class_male,71.6,16.64878892733564
MNK,all_white_poor_white_male,10,26.2
MNK,all_white_upper_class_male,33,13.691119691119692
MY,all_black_free_black_female,96,13.220689655172414
MY,all_white_lower_class_male,31,11.913793103448276
MZG,all_white_lower_class_female,62,15.723981900452488
MZG,all_white_middle_class_female,12,14.149606299212598
OLD,all_indian_indian_tribal_leader_male,93,70
OLD,all_white_upper_class_male,33.5,25.10958904109589
PAN,all_black_free_black_male,104.2,39.25984251968504
PAN,all_white_lower_class_male,126,46.96078431372549
POL,all_black_free_black_male,17.333333333333332,16.22705314009662
RAI,all_white_upper_class_female,9,13.13768115942029
RAM,all_white_lower_class_male,50,23.844444444444445
RE,all_black_free_black_male,15,14.545454545454545
RE,all_white_upper_class_female,128,17.123893805309734
RL,all_black_enslaved_black_male,18,16.435754189944134
RL,all_mixedindianwhiteblack_indian_tribal_leader_male,24.666666666666668,12.922764227642276
SAS,all_white_upper_class_female,5,21.026666666666667
SAS,all_white_upper_class_male,34,22.322097378277153
SF,all_black_free_black_female,18,9.366080661840744
SF,all_white_upper_class_male,77.82352941176471,11.233079695634762
SH,all_white_lower_class_female,25.5,12.30679156908665
SH,all_white_lower_class_male,51.333333333333336,13.204819277108435
SL,all_white_poor_white_male,33,17.830449826989618
SMO,all_white_lower_class_male,19,15.78061224489796
SMO,all_white_middle_class_male,29.625,15.323809523809524
SNP,all_white_lower_class_male,55,21.41304347826087
SNP,all_white_poor_white_male,14,17.82758620689655
SY,all_white_lower_class_male,24,10.644760213143872
SY,all_white_upper_class_male,52,10.941326530612244
T,all_white_lower_class_male,62.25,20.732758620689655
T,all_white_middle_class_female,77.5,20.062402496099843
T,all_white_poor_white_male,41,23.297709923664122
T,all_white_upper_class_female,177,18.49586776859504
T,all_white_upper_class_male,65.5,20.18020441097364
TH,all_white_lower_class_male,22,12.566750629722922
TM,all_white_yeoman_male,11.333333333333334,16.42718446601942
TO,all_white_lower_class_male,6,18.582995951417004
TO,all_white_middle_class_male,18,19.875862068965517
TO,all_white_upper_class_male,63.5,17.30921052631579
TWB,all_white_middle_class_male,91.25,21.367924528301888
TWQ,all_mixedblackwhite_free_black_female,25,11.698924731182796
TWQ,all_white_lower_class_male,34,34
TWQ,all_white_upper_class_female,6,11.48
TWQ,all_white_upper_class_male,37,12.521008403361344
TWS,all_white_lower_class_male,59,12.436241610738255
UNV,all_black_enslaved_black_male,32,22.16867469879518
UNV,all_white_indeterminable_male,57,63
UNV,all_white_upper_class_male,47,21.734234234234233
UV,all_white_upper_class_female,70,22.280380673499266
UV,all_white_upper_class_male,51.333333333333336,21.84989247311828
UW,all_white_lower_class_female,18,22.195652173913043
UW,all_white_lower_class_male,107.5,36.5
UW,all_white_middle_class_male,60.76923076923077,28.481283422459892
