presentmentioned,character_name,cor,p_value
Present,quentin_compson,0.5928,0
Both,quentin_compson,0.5912,0
Mentioned,mr._jason_compson,0.4756,0
Present,caddy_compson,0.4463,0
Both,caddy_compson,0.4451,0
Present,chick_mallison,0.4325,0
Both,chick_mallison,0.4313,0
Mentioned,judith_sutpen,0.4146,0
Mentioned,vinson_gowrie,0.3887,0
Present,henry_sutpen,0.3867,0
Both,henry_sutpen,0.3856,0
Present,charles_bon,0.3847,0
Both,charles_bon,0.3836,0
Mentioned,aleck_sander,0.3819,0
Mentioned,miss_eunice_habersham,0.3678,0
Mentioned,crawford_gowrie,0.3652,0
Mentioned,chick_mallison,0.3626,0
Present,lucas_beauchamp,0.2867,0
Both,lucas_beauchamp,0.2858,0
Present,molly_beauchamp,0.2729,0
Both,molly_beauchamp,0.272,0
Present,zack_edmonds,0.2705,0
Both,zack_edmonds,0.2697,0
Mentioned,lucas_beauchamp,0.2255,0
Mentioned,carothers_edmonds,0.221,0
